Pcia,Comuna,Total de viviendas particulares,Total de viviendas colectivas,Total de población,Población en viviendas particulares,Población en viviendas colectivas (1),Población en situación de calle (vía pública)
Entre Ríos,Diamante,23.453,74,54.121,52.632,1.489,
Entre Ríos,Federación,28.081,161,79.449,79.050,316,83
Entre Ríos,Federal,11.303,21,29.569,29.333,236,
Entre Ríos,Feliciano,6.015,11,16.597,16.509,88,
Entre Ríos,Gualeguay,23.115,36,57.865,57.380,485,
Entre Ríos,Gualeguaychú,52.962,100,126.765,125.775,990,
Entre Ríos,Islas del Ibicuy,5.940,12,14.075,14.060,15,
Entre Ríos,La Paz,26.554,15,74.872,74.762,110,
Entre Ríos,Nogoyá,17.213,23,42.371,42.090,281,
Entre Ríos,Paraná,154.392,161,391.962,389.758,2.153,51
Entre Ríos,San Salvador,7.988,11,20.816,20.749,67,
Entre Ríos,Tala,13.365,21,30.840,30.573,267,
Entre Ríos,Uruguay,48.661,42,116.430,115.703,722,5
Entre Ríos,Victoria,17.438,51,40.777,40.424,353,
Entre Ríos,Villaguay,21.033,29,55.192,54.714,478,
Formosa,Bermejo,5.785,2,15.385,15.370,15,
Formosa,Formosa,94.024,111,271.112,270.007,1.105,
Formosa,Laishi,7.732,14,19.363,19.335,28,
Formosa,Matacos,5.948,4,16.994,16.979,15,
Formosa,Patiño,29.875,27,80.718,80.499,219,
Formosa,Pilagás,7.153,17,18.875,18.848,27,
Formosa,Pilcomayo,30.751,16,93.774,93.715,59,
Formosa,Pirané,27.061,26,72.053,71.817,236,
Formosa,Ramón Lista,4.612,15,17.767,17.708,59,
Jujuy,Cochinoca,6.619,19,14.599,14.516,83,
Jujuy,Dr. Manuel Belgrano,106.988,13,315.491,315.243,166,82
Jujuy,El Carmen,37.853,,119.076,119.076,,
Jujuy,Humahuaca,9.599,26,19.520,19.477,43,
Jujuy,Ledesma,30.493,12,93.007,92.981,26,
Jujuy,Palpalá,21.162,6,65.531,65.499,32,
Jujuy,Rinconada,964,,1.765,1.765,,
Jujuy,San Antonio,2.815,,6.641,6.641,,
Jujuy,San Pedro,29.876,8,87.758,87.728,30,
Jujuy,Santa Bárbara,7.028,,20.465,20.465,,
Jujuy,Santa Catalina,1.435,9,2.213,2.208,5,
Jujuy,Susques,1.601,20,3.980,3.826,154,
Jujuy,Tilcara,6.551,120,14.841,14.738,103,
Jujuy,Tumbaya,2.142,79,5.393,5.190,203,
Jujuy,Valle Grande,1.680,14,2.406,2.387,19,
Jujuy,Yavi,9.416,,25.269,25.269,,
La Pampa,Atreucó,5.421,24,11.319,11.231,88,
La Pampa,Caleu Caleu,1.264,13,2.625,2.625,,
La Pampa,Capital,53.219,,120.473,120.469,,4
La Pampa,Catriló,3.763,8,8.287,8.262,25,
La Pampa,Chalileo,1.351,15,2.911,2.895,16,
La Pampa,Chapaleufú,5.549,21,12.500,12.429,71,
La Pampa,Chical Co,790,4,1.491,1.472,19,
La Pampa,Conhelo,7.299,19,15.390,15.280,110,
La Pampa,Curacó,645,1,1.165,1.066,99,
La Pampa,Guatraché,4.742,138,9.834,9.511,323,
La Pampa,Hucal,4.322,20,7.914,7.828,86,
La Pampa,Lihuel Calel,445,4,437,417,20,
La Pampa,Limay Mahuida,286,8,420,410,10,
La Pampa,Loventué,4.567,29,9.400,9.343,57,
La Pampa,Maracó,30.214,,70.156,70.156,,
La Pampa,Puelén,4.611,18,12.035,12.017,18,
La Pampa,Quemú Quemú,3.981,12,8.566,8.501,65,
La Pampa,Rancul,5.303,16,11.161,11.121,40,
La Pampa,Realicó,7.832,30,17.700,17.586,114,
La Pampa,Toay,7.251,8,18.387,18.281,106,
La Pampa,Trenel,2.863,8,5.788,5.723,65,
La Pampa,Utracán,8.087,41,18.063,17.933,130,
La Rioja,Arauco,6.684,10,16.625,16.619,6,
La Rioja,Ángel Vicente Peñaloza,1.278,3,3.175,3.174,1,
La Rioja,Capital,78.779,66,212.225,211.097,1.128,
La Rioja,Castro Barros,2.914,,4.841,4.841,,
La Rioja,Chamical,6.468,16,15.762,15.702,60,
La Rioja,Chilecito,21.156,56,60.175,60.014,161,
La Rioja,Famatina,3.307,15,6.961,6.944,17,
La Rioja,General Belgrano,3.435,8,7.649,7.647,2,
La Rioja,General Felipe Varela,4.688,44,11.406,11.388,18,
La Rioja,General Juan Facundo Quiroga,1.728,3,3.828,3.824,4,
La Rioja,General Lamadrid,839,1,1.876,1.875,1,
